,Show_Number,Air_Date,Round,Category,Value,Question,Answer,Float_Value,,
118856,3627,2000-05-16,Jeopardy!,THOSE WACKY CANADIANS,$100,"She was born in Alberta in 1907, 26 years before King Kong held her in his hand",Fay Wray,100,,
118897,3627,2000-05-16,Double Jeopardy!,TURNS OF THE CENTURY,$600,"In 1801, under pressure from King George III, this ""younger"" man resigned after 17 years as prime minister",William Pitt,600,,
118971,4916,2006-01-16,Final Jeopardy!,ANCIENT OBJECTS,None,In I Kings 8 there was nothing inside it except 2 tablets put there by Moses,the Ark of the Covenant,0,,
119006,5588,2008-12-17,Double Jeopardy!,ISLANDS OF THE SOUTHERN HEMISPHERE,$400,"Australia's least populous state, it consists of the main island & many smaller ones, including King & Flinders",Tasmania,400,,
119028,5588,2008-12-17,Double Jeopardy!,1980s BESTSELLERS,$2000,A lawyer can't stop losing weight after he's cursed in this 1985 Stephen King/Richard Bachman bestseller,Thinner,2000,,
119091,2847,1997-01-07,Double Jeopardy!,COURT APPOINTEES,$1000,"A year after discovering Uranus, he was appointed private astronomer to King George III",Sir William Herschel,1000,,
119199,6024,2010-11-18,Double Jeopardy!,19th CENTURY LITERARY CHARACTERS,$1600,"Alice questions reality after these 2 say she's only a character in the Red King's dream; ooo, 19th century ""Inception""!",Tweedledee and Tweedledum,1600,,
119718,5259,2007-06-21,Double Jeopardy!,THE SON ALSO RISES,$400,Leopold II succeeded his dad as King of the Belgians in this year that also marked the end of a war in the U.S.,1865,400,,
120061,3119,1998-03-05,Jeopardy!,WALKING THE DOG,$400,"The largest terrier, it's been called the ""King of the Terriers""",Airedale,400,,
120137,4560,2004-06-04,Double Jeopardy!,FRANKLY,$800,"Alaric II, King of these ""goths"", was killed in the decisive Battle of Vouille against the Franks in 507",the Visigoths,800,,
120277,3281,1998-12-07,Double Jeopardy!,SHAKESPEARE'S FILMS,$1000,"This 1985 film was Akira Kurosawa's treatment of ""King Lear""",Ran,1000,,
120319,3210,1998-07-10,Double Jeopardy!,STAG FILMS,$400,"In a short cult film, Bambi had an unfortunate meeting with this ""King of the Monsters""",Godzilla,400,,
120370,4683,2005-01-05,Jeopardy!,REIGN CHECK,$1000,Kings of this North African country have included Muhammad V & Hassan II,Morocco,1000,,
120464,5570,2008-11-21,Final Jeopardy!,GREEK MYTHOLOGY,None,King Salmoneus dragged bronze kettles behind his chariot to imitate this, Zeus killed him,thunder,0,
120771,1309,1990-04-19,Jeopardy!,FASHION DESIGNERS,$100,In 1957 Mary Quant opened her Bazaar Boutique on the King's Road in this city,London,100,,
120957,4205,2002-12-06,Jeopardy!,OLD SCHOOL THAI,$400,"Known as the ""Venice of the East"", this Thai city was modernized by King Mongkut in the 1800s",Bangkok,400,,
121416,2866,1997-02-03,Double Jeopardy!,EUROPEAN HISTORY,$800,The Great Northern War of 1700-1721 pitted Sweden's King Charles XII against this great czar,Peter The Great,800,,
121420,2866,1997-02-03,Double Jeopardy!,ISLANDS,$800,"This Australian state has many islands, including King Island, Maria Island & The Kent Group",Tasmania,800,,
121534,3199,1998-06-25,Double Jeopardy!,THE KING AND I,$600,"This title prince of Tyre taunts King Antiochus: ""Great king, few love to hear the sins they love to act""",Pericles,600,,
121583,4248,2003-02-05,Double Jeopardy!,WAY OUT THERE,$400,"Regulus, ""Little King"", is the brightest star in this ""king""ly animal constellation",Leo,400,,
122507,4615,2004-10-01,Double Jeopardy!,FIVE EASY PEACES,$1600,The Peace of Utrecht ended this war & recognized the legitimacy of Louis XIV's grandson as King of Spain,the War of the Spanish Succession,1600,,
123165,962,1988-11-08,Double Jeopardy!,COLORFUL PHRASES,$1000,"In ""Ivanhoe"", when King Richard was in disguise he was described as this",Black Knight,1000,,
123299,4656,2004-11-29,Jeopardy!,CHAIRS,$400,"If you want to be crowned King of England, this rock has to be in your coronation chair",the Stone of Scone,400,,
123588,3651,2000-06-19,Double Jeopardy!,ALSO AT THE 2000 GRAMMYS,$1000,"Richard Burton won a Grammy in 1976; this man, no relation, won in 2000 for reading the words of Martin Luther King",LeVar Burton,1000,,
123631,786,1988-01-25,Double Jeopardy!,SPAIN,"$2,500","For a brief time in the early 19th c., his brother was installed as King Joseph I",Napoleon,2500,,
123671,5718,2009-06-17,Jeopardy!,A YEAR ENDING IN '09,$1000,King Henry VII of England dies,1509,1000,,
123836,279,1985-10-03,Jeopardy!,MOVIES,$200,Dustin Hoffman & Alec Guinness were considered for this role that won an Oscar for Ben Kingsley,Gandhi,200,,
123914,3072,1997-12-30,Double Jeopardy!,MUSIC MAKERS,$200,"He composed the ""King Cotton"" March in 1897, the same year as ""The Stars & Stripes Forever""",John Philip Sousa,200,,
124000,1424,1990-11-08,Double Jeopardy!,MUSICAL THEATER,$1000,"This actress, who originated the role of Anna in ""The King & I"", died during its run in 1952",Gertrude Lawrence,1000,,
124131,4486,2004-02-23,Jeopardy!,ROYALTY,"$1,000",A Canadian province is named for this son of King George III,Prince Edward (Island),1000,,
124223,3493,1999-11-10,Double Jeopardy!,TEENS IN LITERATURE,$800,By age 13 Philip Carey is a student at the King's School in Tercanbury in this Somerset Maugham novel,"""Of Human Bondage""",800,,
124367,5367,2008-01-01,Jeopardy!,A STAR IS REBORN?,$600,"<a href=""http://www.j-archive.com/media/2008-01-01_J_23.jpg"" target=""_blank"">This</a> singing King of Romance usually reminisces on his prior life as a ""Hansel und Gretel"" composer",Engelbert Humperdinck,600,,
124378,5367,2008-01-01,Jeopardy!,EGYPT,$1000,In 1952 a group of army officers overthrew King Farouk & by 1954 this man had taken over the Egyptian govt.,Nasser,1000,,
124405,5367,2008-01-01,Double Jeopardy!,PUTTING ON HEIRS,$1600,"Still miffed about the Magna Carta, he kicked the bucket in 1216 & his 9-year-old son became King Henry III",King John,1600,,
124461,3585,2000-03-17,Double Jeopardy!,BORN IN IRELAND,$800,"Irish-born actor who played Britain's King Arthur in the movie version of ""Camelot""",Richard Harris,800,,
124625,5104,2006-11-16,Double Jeopardy!,THE HELP,$800,"King Arthur had a lot of these to remember--Sir Galahad, Sir Gawain...",knights,800,,
124820,2926,1997-04-28,Final Jeopardy!,MOUNTAINS,None,"Range of mountains where Danny Kaye, Alan King & Rip Van Winkle gained fame",the Catskills,0,,
124844,4769,2005-05-05,Jeopardy!,"WHAT THE ""H"" IS IT?",$800,The chief minister responsible for law & order in the United Kingdom,the Home Secretary,800,,
124916,5769,2009-10-15,Double Jeopardy!,JAZZ ODYSSEY,$800,"May 30, 2009 would have been the 100th birthday of this clarinetist & ""King of Swing""",Benny Goodman,800,,
125030,5300,2007-09-28,Double Jeopardy!,WORLD HISTORY,$800,This King of Aragon freed the Catalan Serfs in 1486 & captured Granada in 1492,King Ferdinand,800,,
125166,4391,2003-10-13,Double Jeopardy!,THE GUARDIAN,"$2,500",The Fisher King is the guardian of this relic,the Holy Grail,2500,,
125324,4199,2002-11-28,Jeopardy!,SAFARI SO GOOD,$1000,"He was the director of the St. Louis Zoo before taking us all on safari as the host of ""Wild Kingdom""",Marlin Perkins,1000,,
125487,3845,2001-04-27,Jeopardy!,C'EST CHEESE!,$200,King Christian IX is a cheese from this country,Denmark,200,,
125572,3075,1998-01-02,Double Jeopardy!,TRACK,$400,"This track star's authorized hats & T-shirts sold in Europe & Asia proclaim him to be ""King Carl""",Carl Lewis,400,,
125822,4042,2002-03-12,Double Jeopardy!,"PAINT IT ""BLACK""","$5,000",Famous nickname of the eldest son of England's King Edward III,the Black Prince,5000,,
126059,6157,2011-05-24,Double Jeopardy!,BALLET HIGH,$2000,"In a ballet about this Norwegian folk hero, he insults the Mountain King's daughter & must descend quickly",Peer Gynt,2000,,
126213,6286,2012-01-09,Double Jeopardy!,FELONIOUS MONKS,$400,In 1589 a fanatical monk named Jacques Clement assassinated this country's reigning King Henry III,France,400,,
126289,6080,2011-02-04,Double Jeopardy!,VI PACK,$1600,"In ""The King's Speech"" Colin Firth plays this monarch who struggled with his stammer",George VI,1600,,
126398,3309,1999-01-14,Double Jeopardy!,VERY CROSS WORD CLUES,$400,"According to the King James Bible, ""A soft answer turneth"" it ""away""",Wrath,400,,
126571,3791,2001-02-12,Double Jeopardy!,TROPICANA,$400,"This tropical island has roads linking Port Antonio, Montego Bay & Kingston",Jamaica,400,,
126641,5635,2009-02-20,Double Jeopardy!,DUTCH ROYALTY,$1600,"The Dutch King William III was also Grand Duke of this grand duchy, now an independent country",Luxembourg,1600,,
126680,6251,2011-11-21,Jeopardy!,"NEED A ""LIFT""?",$1000,"At 9:32 A.M. on July 16, 1969, Jack King declared, ""We have"" this ""on Apollo 11""",liftoff,1000,,
127162,1862,1992-10-13,Jeopardy!,WORLD HISTORY,$500,King Gustav III restored autocratic rule to this country in the 18th century,Sweden,500,,
127433,4359,2003-07-10,Double Jeopardy!,MR. JOHNSON,$1600,"This ""King of the Delta Blues Singers"" wrote classics like ""Sweet Home Chicago"" before dying young in 1938",Robert Johnson,1600,,
127477,1325,1990-05-11,Double Jeopardy!,NAMESAKES,$200,"Flower named for King George III's royal gardener, William Forsythe",Forsythia,200,,
127484,1325,1990-05-11,Double Jeopardy!,MEDIEVAL PEOPLE,$600,Ethelred the Unready managed to lose most of England to King Sweyn Forkbeard of this country,Denmark,600,,
127705,5450,2008-04-25,Jeopardy!,SARDI'S,$800,"(<a href=""http://www.j-archive.com/media/2008-04-25_J_08.jpg"" target=""_blank"">Kelly of the Clue Crew reports from Sardi's in New York, NY.</a>) You can see <a href=""http://www.j-archive.com/media/2008-04-25_J_08a.jpg"" target=""_blank"">this</a> actor presented with his caricature at Sardi's in the movie ""The King of Comedy""; he later <a href=""http://www.j-archive.com/media/2008-04-25_J_08b.jpg"" target=""_blank"">signed</a> it with the name of his character, Rupert Pumpkin",Robert DeNiro,800,,
127758,6021,2010-11-15,Jeopardy!,STATE FACTS,$600,This state was named for the King of England who reigned from 1727 to 1760,Georgia,600,,
127923,3684,2000-09-14,Jeopardy!,QUICKIES,$100,"In the King James Version, Paul wrote, ""We shall all be changed...in"" this ""of an eye""",Twinkling,100,,
127988,3105,1998-02-13,Jeopardy!,CAT PEOPLE,$200,It's the name of King John's crusading older brother,Richard the Lionhearted,200,,
128038,3105,1998-02-13,Double Jeopardy!,HE SAID,"$4,700","In 1 Kings 19 God tells him ""Anoint Hazael"", but he doesn't tell him to visit homes during the Seder",Elijah,4700,,
128356,2779,1996-10-03,Jeopardy!,HERALDRY,$300,The Lord Lyon King of Arms is the chief herald of this United Kingdom country,Scotland,300,,
128449,4917,2006-01-17,Double Jeopardy!,HERO & VILLAIN,$1600,"I'll give you two bits if you can name this hero of H.R. Haggard's adventure tale ""King Solomon's Mines""",Allan Quatermain,1600,,
128530,5202,2007-04-03,Jeopardy!,CARLS IN CHARGE,$400,"Jean-Baptiste Bernadotte, a marshal under this emperor, reinvented himself as Swedish King Carl Johan",Napoleon,400,,
128536,5202,2007-04-03,Jeopardy!,CARLS IN CHARGE,$600,"Mid-19th c. Swedish King Carl XV saw power go from the monarch to the Riksdag, this",the parliament,600,,
128654,5446,2008-04-21,Jeopardy!,TRAVEL EUROPE,$600,"Gripsholm Castle, on an island in Lake Malaren, was built by this country's King Gustav Vasa",Sweden,600,,
128937,6001,2010-10-18,Jeopardy!,AMERICAN HISTORY,$400,"The British party of this name aimed to limit the king's powers; the U.S. party hoped to limit ""King Andrew"" Jackson",the Whigs,400,,
129017,5380,2008-01-18,Jeopardy!,FILMS FROM COMIC BOOKS,$1000,"In a 2003 film this blind superhero, the ""Man Without Fear"", battled Bullseye & a NYC crimelord called the Kingpin",Daredevil,1000,,
129106,4906,2006-01-02,Double Jeopardy!,HISTORIC NICKNAMES,$2000,"King Edward I of England, who fought William Wallace, had this nickname relating to his height","""Longshanks""",2000,,
129142,3727,2000-11-14,Double Jeopardy!,CLASSICAL COMPOSERS,$200,"King George enjoyed this man's ""Water Music"" so much during a 1717 party that he ordered it played 3 times that day",Handel,200,,
129274,6042,2010-12-14,Double Jeopardy!,& OTHER FANCY STUFF,$1200,In 2010 this conservative leader descended from King William IV became Britain's prime minister,(David) Cameron,1200,,
129350,5849,2010-02-04,Jeopardy!,"I'LL TAKE THE COUNTRY FROM HERE, THANKS",$200,"Muammar al-Qaddafi, from King Idris",Libya,200,,
129597,4727,2005-03-08,Jeopardy!,ORGANIZATIONS,$400,The Gov. Bradford Compact held its annual meeting in this Mass. town from 1946 to 2003, it now alternates with Kingston,Plymouth,400,
129621,4727,2005-03-08,Double Jeopardy!,THE REIGN IN SPAIN,$400,This royal thwarted a coup d'etat in 1981 & to us he'll always be King of Spain,Juan Carlos,400,,
129974,5026,2006-06-19,Jeopardy!,TIME IS ON MY SIDE,$1000,"This country's King Rama IX, who belongs to the Chakri Dynasty that includes King Mongkut, has reigned 59 years",Thailand,1000,,
130095,1653,1991-11-06,Jeopardy!,TENNIS,$500,"In the Astrodome in 1973, Billie Jean King beat this senior male player in a ""Battle of the Sexes""",Bobby Riggs,500,,
130208,5222,2007-05-01,Jeopardy!,ROYALTY,$600,"This ""Sun King"" sniffed, ""England is a little garden full of sour weeds""",Louis XIV,600,,
130251,5222,2007-05-01,Double Jeopardy!,"""USC""",$2000,"At age 88 King Gustav VI was out diggin' in the ruins of these people in Acquarossa, Italy",Etruscans (or Tuscans),2000,,
130542,4926,2006-01-30,Double Jeopardy!,AUSSIE CAPITALS,$1600,"This capital of South Australia was named for a queen, the consort of King William IV",Adelaide,1600,,
130571,5471,2008-05-26,Jeopardy!,QUOTATIONS,$600,"In the King James Version of John 3:16, ""God so loved the world, that he gave"" this",his only begotten son,600,,
130774,619,1987-04-23,Double Jeopardy!,NEIGHBORHOODS,$400,"You can visit the Martin Luther King, Jr. historic district in this city",Atlanta,400,,
131155,5091,2006-10-30,Jeopardy!,FAST FOOD NATION,$400,"When this big burger debuted at Burger King in 1957, it cost a mere 37 cents",the Whopper,400,,
131210,4907,2006-01-03,Jeopardy!,TEA TIME,$200,This tea that's flavored with bergamot was named for a nobleman who was a prime minister to King William IV,Earl Gray,200,,
131321,4736,2005-03-21,Double Jeopardy!,THEOLOGIANS,"$2,000","During King Philip's War, this minister acted as captain of the Providence Militia & fought the Indians","Roger Williams (from Providence, Rhode Island)",2000,,
131523,5054,2006-07-27,Jeopardy!,GREAT PEOPLE OF HISTORY,$600,"King Darius the Great of this empire sent an army into Greece in 490 B.C., but it was defeated at Marathon",the Persian Empire,600,,
131752,6086,2011-02-14,Jeopardy!,LITERARY CHARACTER APB,$200,Wanted for a 12-year crime spree of eating King Hrothgar's warriors, officer Beowulf has been assigned the case,Grendel,200,
131875,5780,2009-10-30,Double Jeopardy!,THE SHAKESPEAREAN ROOM,$400,"(<a href=""http://www.j-archive.com/media/2009-10-30_DJ_01.jpg"" target=""_blank"">Wolf Blitzer delivers the clue from the Shakespearean Room.</a>)  Confrontation at Elsinore Castle.  Laertes wishes vengeance for his father's death in this play, & the King says yes to those demands",Hamlet,400,,
131892,5780,2009-10-30,Double Jeopardy!,THE SHAKESPEAREAN ROOM,$1600,"(<a href=""http://www.j-archive.com/media/2009-10-30_DJ_04.jpg"" target=""_blank"">Wolf Blitzer delivers the clue from the Shakespearean Room.</a>)  Tragedy at sea, as the King of Naples' ship sinks at the beginning of this play, Gonzalo was said to remain calm",The Tempest,1600,,
132450,4600,2004-09-10,Jeopardy!,ANIMATED MOVIES,$400,This co-star of “Nash Bridges” returned in “The Lion King 1½” as the voice of Bonzai the hyena,Cheech Marin,400,,
132596,2972,1997-07-01,Double Jeopardy!,FAMOUS NAMES,$400,"In 1680 this ""Sun King"" established France's national theatre, the Comedie Francaise",Louis XIV,400,,
132827,2953,1997-06-04,Jeopardy!,TALL TALES,$500,"This ""King of the Keelboatmen"" boasted of being half-horse & half-alligator",Mike Fink,500,,
133165,6111,2011-03-21,Jeopardy!,AN ANCIENT GREEK NEWSCAST,$800,"What's goin' on in sports, Aetos?  King Augeas said now that this hero has cleaned the stables, rodeo season is open",Heracles,800,,
133345,3661,2000-07-03,Jeopardy!,WORLD OF ISLAM,$400,"Referring to ""The Sanctuary"" of King Solomon's temple once found there, the Muslim name for this city is Al-Quds",Jerusalem,400,,
133516,4290,2003-04-04,Jeopardy!,"ON A MAP, SOMEWHERE","$1,000","Stiklestad, a village in this country, is where King Olaf II was killed in a 1030 battle",Norway,1000,,
133539,4290,2003-04-04,Double Jeopardy!,NAME THE JAMES,$800,"...who was convicted of assassinating Martin Luther King, Jr.",James Earl Ray,800,,
133729,2978,1997-07-09,Double Jeopardy!,RULERS,$600,"This current king of Jordan was a cousin of King Faisal of Iraq, who was assassinated in 1958",King Hussein,600,,
133958,4964,2006-03-23,Double Jeopardy!,THERE'S NO PLACE LIKE ANCIENT ROME,$400,"This ""Great"" king of the New Testament became King of Judea with Rome's help in 37 B.C.",Herod,400,,
